Z      N      A      Energy_new(MeV)     Energy_old(MeV)     Energy_diff(MeV)    beta2_new    beta2_old    beta3_new    fileID    
22     62     84     -502.985937         -502.985422         -0.000515           0.0          0.000000     0.0          14858     
22     64     86     -497.30942          -497.302041         -0.007379           0.00328      0.000000     -1e-06       14979     
24     12     36     -191.383307         -191.299586         -0.083721           0.310542     0.302712     1.7e-05      15060     
24     14     38     -238.768542         -238.697389         -0.071153           0.236944     0.236148     0.003438     15088     
24     16     40     -281.475151         -281.428426         -0.046725           0.177748     0.177959     -5.6e-05     15165     
24     18     42     -319.625566         -319.534185         -0.091381           0.001253     -0.000012    -3e-05       15238     
24     20     44     -355.36319          -355.242185         -0.121005           0.00027      -0.000001    -0.0         15345     
24     22     46     -383.83604          -383.754712         -0.081328           0.002371     -0.000002    0.000104     15402     
24     24     48     -412.057719         -412.036026         -0.021693           0.210718     0.211060     -0.005391    15519     
24     26     50     -436.373897         -436.348322         -0.025575           0.193091     0.193380     0.002299     15592     
24     28     52     -457.552869         -457.55225          -0.000619           0.116671     0.117911     8e-06        15609     
24     30     54     -475.325257         -475.325578         0.000321            0.113469     0.110680     -0.001322    15741     
24     32     56     -490.265715         -490.275268         0.009553            0.108804     0.108304     0.000489     15775     
24     34     58     -502.965298         -502.965689         0.000391            0.089227     0.087252     -0.000173    15894     
24     36     60     -513.986365         -513.980063         -0.006302           0.000481     -0.000087    0.0          15924     
24     38     62     -524.68128          -524.676134         -0.005146           5.2e-05      0.000000     1e-06        16014     
24     40     64     -534.148181         -534.132588         -0.015593           -0.000362    0.000000     0.0          16099     
24     42     66     -541.105005         -541.029671         -0.075334           -0.000247    0.000000     1e-06        16145     
24     44     68     -547.188541         -547.170026         -0.018515           0.095391     0.093175     0.002574     16257     
24     46     70     -553.522912         -553.508854         -0.014058           0.154492     0.154764     0.000171     16300     
24     48     72     -557.524606         -557.508587         -0.016019           0.116597     0.118197     0.00017      16410     
24     50     74     -560.681576         -560.665462         -0.016114           0.003489     0.000000     0.000168     16466     
24     52     76     -561.685637         -561.566013         -0.119624           0.044123     0.000005     6.4e-05      16530     
24     54     78     -561.985804         -561.884001         -0.101803           0.086977     0.072074     0.000357     16605     
24     56     80     -561.537678         -561.529786         -0.007892           0.00358      0.000002     0.0          16659     
24     58     82     -560.701679         -560.680394         -0.021285           -0.001388    0.000000     -0.0         16747     
24     60     84     -558.887072         -558.886483         -0.000589           0.0          0.000000     0.0          16808     
24     62     86     -555.939578         -555.939098         -0.00048            1e-06        0.000000     1e-06        16928     
24     64     88     -551.82357          -551.816617         -0.006953           -0.000488    0.000000     -1e-06       16959     
24     66     90     -547.258555         -547.258251         -0.000304           2e-06        -0.000006    1e-06        17048     
26     14     40     -229.403514         -229.297066         -0.106448           0.274226     0.270451     -0.000102    13        
26     16     42     -275.668865         -275.60326          -0.065605           0.2179       0.217333     -0.00019     87        
26     18     44     -317.216647         -317.131736         -0.084911           0.041723     0.045525     0.001043     207       
26     20     46     -356.784121         -356.677474         -0.106647           0.001494     -0.000001    8.1e-05      269       
26     22     48     -388.785726         -388.709836         -0.07589            -0.000386    -0.000002    0.0          352       
26     24     50     -419.999715         -419.982116         -0.017599           0.197126     0.197131     -2.1e-05     443       
26     26     52     -447.790632         -447.785061         -0.005571           0.181284     0.180971     -6.2e-05     459       
26     28     54     -472.405459         -472.397917         -0.007542           0.084813     0.086241     0.000554     552       
26     30     56     -493.104737         -493.094091         -0.010646           0.113556     0.113866     5e-06        609       
26     32     58     -510.848169         -510.839103         -0.009066           0.126502     0.126752     -0.000589    729       
26     34     60     -526.322594         -526.32532          0.002726            0.111402     0.110486     -7.5e-05     759       
26     36     62     -540.050777         -540.044085         -0.006692           -0.060889    -0.061002    2.4e-05      894       
26     38     64     -553.308749         -553.297776         -0.010973           -0.000316    0.000000     1e-06        935       
26     40     66     -565.464129         -565.433657         -0.030472           -0.000264    0.000000     -0.0         1039      
26     42     68     -574.976049         -574.900096         -0.075953           -0.000295    0.000000     1e-06        1070      
26     44     70     -583.112468         -583.094007         -0.018461           -0.00117     0.000000     0.0          1160      
26     46     72     -591.762306         -591.74953          -0.012776           0.122734     0.122808     -8e-05       1210      
26     48     74     -598.249936         -598.194243         -0.055693           -0.002093    -0.000002    5.8e-05      1292      
26     50     76     -604.218506         -604.204073         -0.014433           -0.001804    0.000000     -0.000227    1367      
26     52     78     -606.551586         -606.514963         -0.036623           0.009158     -0.000002    -4e-06       1436      
26     54     80     -608.2397           -608.134374         -0.105326           0.071978     0.053751     0.000126     1530      
26     56     82     -609.086968         -609.077215         -0.009753           0.002514     -0.000005    -0.0         1584      
26     58     84     -609.244705         -609.23806          -0.006645           -0.001119    0.000000     -1e-06       1672      
26     60     86     -608.398068         -608.39741          -0.000658           -0.00066     0.000000     1e-06        1762      
26     62     88     -606.633609         -606.633151         -0.000458           -3e-06       0.000000     0.0          1823      
26     64     90     -604.120502         -604.120146         -0.000356           -9e-06       -0.000003    -0.0         1898      
26     66     92     -601.308713         -601.300209         -0.008504           -0.001619    -0.000002    3e-06        1989      
26     68     94     -598.46595          -598.465683         -0.000267           -0.0         0.000000     -1e-06       2093      
28     14     42     -218.445722         -218.33749          -0.108232           -0.248535    -0.244874    0.000315     2119      
28     16     44     -266.994353         -266.945599         -0.048754           -0.200128    -0.199317    0.00225      2210      
28     18     46     -312.22483          -312.188131         -0.036699           -0.094386    -0.083391    1.5e-05      2296      
28     20     48     -355.148027         -355.121928         -0.026099           -0.001159    -0.000001    0.0          2359      
28     22     50     -390.53908          -390.519516         -0.019564           3.7e-05      -0.000006    0.0          2468      
28     24     52     -423.723851         -423.707484         -0.016367           0.131284     0.131296     -0.00016     2543      
28     26     54     -454.939965         -454.926189         -0.013776           0.090504     0.090527     -0.000456    2603      
28     28     56     -483.797466         -483.785864         -0.011602           3.6e-05      -0.000001    -0.0         2663      
28     30     58     -506.858416         -506.848434         -0.009982           0.000618     -0.000001    -1.9e-05     2739      
28     32     60     -527.311138         -527.298096         -0.013042           -0.00204     -0.000001    -9e-06       2812      
28     34     62     -545.559903         -545.539091         -0.020812           -0.098401    -0.099170    0.003282     2869      
28     36     64     -562.36495          -562.33523          -0.02972            -0.073351    -0.075111    0.000394     2959      
28     38     66     -578.356273         -578.317294         -0.038979           -0.000235    0.000000     1e-06        3065      
28     40     68     -593.153292         -593.14433          -0.008962           -0.000127    0.000000     -1e-06       3080      
28     42     70     -605.2026           -605.187426         -0.015174           -0.00033     0.000000     -0.0         3155      
28     44     72     -615.826243         -615.807785         -0.018458           -0.000797    0.000000     -0.0         3244      
28     46     74     -625.965226         -625.93399          -0.031236           0.005122     -0.000005    -0.000161    3362      
28     48     76     -635.773475         -635.725738         -0.047737           -0.000822    0.000000     1.1e-05      3437      
28     50     78     -644.054548         -644.048316         -0.006232           0.000383     0.000000     4e-06        3522      
28     52     80     -647.877467         -647.861043         -0.016424           0.003639     0.000000     1.4e-05      3537      
28     54     82     -650.87111          -650.853561         -0.017549           0.008353     0.000000     0.000166     3671      
28     56     84     -653.233717         -653.228635         -0.005082           0.006748     0.000000     0.0          3686      
28     58     86     -654.469337         -654.459938         -0.009399           0.000953     0.000000     -3e-06       3804      
28     60     88     -654.687288         -654.686766         -0.000522           -1e-06       0.000000     0.0          3848      
28     62     90     -654.209572         -654.206139         -0.003433           -0.007029    0.000000     2e-06        3967      
28     64     92     -653.383308         -653.377361         -0.005947           -0.066301    -0.066136    3.8e-05      3997      
28     66     94     -652.234658         -652.233986         -0.000672           -0.001795    -0.000003    -3e-06       4074      
28     68     96     -651.085427         -651.085199         -0.000228           -0.0         0.000000     0.0          4133      
28     70     98     -649.433951         -649.428194         -0.005757           -7.7e-05     0.000000     0.0          4207      
28     72     100    -646.880599         -646.873781         -0.006818           -0.0002      0.000000     0.0          4282      
28     74     102    -643.959672         -643.949738         -0.009934           0.238049     0.236266     -6.5e-05     4404      
28     76     104    -641.257957         -641.257239         -0.000718           0.239767     0.238092     4.1e-05      4494      
28     78     106    -637.820738         -637.795002         -0.025736           0.239374     0.234273     -6.1e-05     4570      
30     18     48     -304.074729         -303.856449         -0.21828            -0.093427    -0.000007    5.2e-05      4606      
30     20     50     -349.512252         -349.47127          -0.040982           0.001786     -0.000001    1.6e-05      4662      
30     22     52     -387.344589         -387.327008         -0.017581           0.000311     -0.000001    -4e-06       4778      
30     24     54     -423.365519         -423.350581         -0.014938           0.128731     0.128723     -8.2e-05     4868      
30     26     56     -457.338457         -457.326003         -0.012454           0.126705     0.126702     8e-05        4899      
30     28     58     -488.324875         -488.302704         -0.022171           0.001511     -0.000001    7e-05        5022      
30     30     60     -513.94981          -513.920132         -0.029678           -0.002249    -0.000010    4e-06        5060      
30     32     62     -537.252486         -537.237218         -0.015268           0.147556     0.147146     0.000458     5111      
30     34     64     -558.288629         -558.281438         -0.007191           -0.162737    -0.162899    0.00033      5226      
30     36     66     -577.579587         -577.574764         -0.004823           -0.135779    -0.135783    0.000668     5288      
30     38     68     -595.344576         -595.338132         -0.006444           -0.000938    0.000000     5e-06        5390      
30     40     70     -612.523559         -612.513957         -0.009602           -0.000423    0.000000     2e-06        5419      
30     42     72     -626.876562         -626.826413         -0.050149           -0.000638    0.000000     -0.0         5525      
30     44     74     -640.390059         -640.357069         -0.03299            0.103249     0.104830     0.000422     5595      
30     46     76     -653.555914         -653.535827         -0.020087           0.137837     0.138535     3.4e-05      5655      
30     48     78     -664.696084         -664.666608         -0.029476           0.101992     0.103108     5.4e-05      5760      
30     50     80     -674.5304           -674.48893          -0.04147            0.002713     0.000000     0.000155     5816      
30     52     82     -681.008686         -680.967848         -0.040838           0.107849     0.109315     0.001103     5921      
30     54     84     -686.210125         -686.162127         -0.047998           0.147695     0.147996     0.000408     5954      
30     56     86     -690.068566         -690.032251         -0.036315           0.162321     0.162178     0.002281     6043      
