EDF,Isotope,Z,N,A,Blocking Type,Hole/Particle,S.P. Orbit,Nilson Label,Binding Energy(MeV),S.P. Energy(MeV),error flag, unmatch flag
SKP,'',41,50,91,proton,particle,2d_3_2,"3, 1, 4, 0, 2",-780.89162,1.610892,0,0
SKP,'',39,50,89,proton,hole,2p_1_2,"1, -1, 3, 0, 1",-774.299072,-8.20344,0,0
SKP,'',41,50,91,proton,particle,1h_11_2,"11, -1, 5, 0, 5",-779.454134,3.048378,0,0
SKP,'',41,50,91,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-788.149891,-5.647379,0,0
SKP,'',39,50,89,proton,hole,2p_3_2,"3, -1, 3, 0, 1",-772.730003,-9.772509,0,0
SKP,'',39,50,89,proton,hole,1f_5_2,"5, -1, 3, 0, 3",-773.436865,-9.065647,0,0
SKP,'',41,50,91,proton,particle,2d_5_2,"5, 1, 4, 0, 2",-783.118927,-0.616415,0,0
SKP,'',41,50,91,proton,particle,1g_7_2,"7, 1, 4, 0, 4",-780.960461,1.542051,0,0
SKP,'',41,50,91,proton,particle,3s_1_2,"1, 1, 4, 0, 0",-781.104977,1.397535,0,0
SKP,'',39,50,89,proton,hole,1f_7_2,"7, -1, 3, 0, 3",-767.815899,-14.686613,0,0
SKP,100Sn,50,50,100,Ground,Ground,Ground,"0, 0, 0, 0, 0",-823.720659,0,0,0
SKP,'',50,49,99,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-799.538632,-24.182027,0,0
SKP,'',50,51,101,neutron,particle,1g_7_2,"7, 1, 4, 0, 4",-832.913898,-9.193239,0,0
SKP,'',50,51,101,neutron,particle,3s_1_2,"1, 1, 4, 0, 0",-833.536759,-9.8161,0,0
SKP,'',50,51,101,neutron,particle,2d_5_2,"5, 1, 4, 0, 2",-835.449822,-11.729163,0,0
SKP,'',50,49,99,neutron,hole,1f_5_2,"5, -1, 3, 0, 3",-804.180729,-19.53993,0,0
SKP,'',50,49,99,neutron,hole,2p_3_2,"3, -1, 3, 0, 1",-803.440645,-20.280014,0,0
SKP,'',50,49,99,neutron,hole,1g_9_2,"9, 1, 4, 0, 4",-807.508038,-16.212621,0,0
SKP,'',50,49,99,neutron,hole,2p_1_2,"1, -1, 3, 0, 1",-804.839727,-18.880932,0,0
SKP,'',50,51,101,neutron,particle,1h_11_2,"11, -1, 5, 0, 5",-831.0335,-7.312841,0,0
SKP,'',50,51,101,neutron,particle,2d_3_2,"3, 1, 4, 0, 2",-833.410983,-9.690324,0,0
SKP,'',51,50,101,proton,particle,2d_5_2,"5, 1, 4, 0, 2",-821.566245,2.154414,0,0
SKP,'',49,50,99,proton,hole,1f_5_2,"5, -1, 3, 0, 3",-818.089276,-5.631383,0,0
