EDF,Isotope,Z,N,A,Blocking Type,Hole/Particle,S.P. Orbit,Nilson Label,Binding Energy(MeV),S.P. Energy(MeV),error flag, unmatch flag
SV-min,'',19,28,47,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-398.821037,-15.510649,0,0
SV-min,56Ni,28,28,56,Ground,Ground,Ground,"0, 0, 0, 0, 0",-480.008028,0,0,0
SV-min,'',28,27,55,neutron,hole,2s_1_2,"1, 1, 2, 0, 0",-458.050126,-21.957902,0,0
SV-min,'',28,27,55,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-464.371402,-15.636626,0,0
SV-min,'',28,29,57,neutron,particle,1f_5_2,"5, -1, 3, 0, 3",-487.999738,-7.99171,0,0
SV-min,'',28,27,55,neutron,hole,1d_3_2,"3, 1, 2, 0, 2",-459.218462,-20.789566,0,0
SV-min,'',28,29,57,neutron,particle,1g_9_2,"9, 1, 4, 0, 4",-484.878025,-4.869997,0,0
SV-min,'',28,29,57,neutron,particle,2p_3_2,"3, -1, 3, 0, 1",-491.296661,-11.288633,0,0
SV-min,'',28,29,57,neutron,particle,2p_1_2,"1, -1, 3, 0, 1",-489.787526,-9.779498,0,0
SV-min,'',28,27,55,neutron,hole,1d_5_2,"5, 1, 2, 0, 2",-454.549378,-25.45865,0,0
SV-min,'',29,28,57,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-475.911871,4.096157,0,0
SV-min,'',29,28,57,proton,particle,2p_3_2,"3, -1, 3, 0, 1",-482.136651,-2.128623,0,0
SV-min,'',29,28,57,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-480.791961,-0.783933,0,0
SV-min,'',27,28,55,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-463.713836,-16.294192,0,0
SV-min,'',27,28,55,proton,hole,1f_7_2,"7, -1, 3, 0, 3",-473.342612,-6.665416,0,0
SV-min,'',27,28,55,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-467.312933,-12.695095,0,0
SV-min,'',27,28,55,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-468.350934,-11.657094,0,0
SV-min,'',29,28,57,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-478.991072,1.016956,0,0
SV-min,78Ni,28,50,78,Ground,Ground,Ground,"0, 0, 0, 0, 0",-641.425904,0,0,0
SV-min,'',28,49,77,neutron,hole,1g_9_2,"9, 1, 4, 0, 4",-636.106799,-5.319105,0,0
SV-min,'',28,49,77,neutron,hole,2p_3_2,"3, -1, 3, 0, 1",-630.983704,-10.4422,0,0
SV-min,'',28,51,79,neutron,particle,2d_3_2,"3, 1, 4, 0, 2",-641.751196,-0.325292,0,0
SV-min,'',28,49,77,neutron,hole,2p_1_2,"1, -1, 3, 0, 1",-632.535605,-8.890299,0,0
SV-min,'',28,49,77,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-627.039674,-14.38623,0,0
SV-min,'',28,49,77,neutron,hole,1f_5_2,"5, -1, 3, 0, 3",-632.789421,-8.636483,0,0
SV-min,'',28,51,79,neutron,particle,2d_5_2,"5, 1, 4, 0, 2",-643.383268,-1.957364,0,0
SV-min,'',28,51,79,neutron,particle,1g_7_2,"7, 1, 4, 0, 4",-639.213984,2.21192,0,0
