./UNEDF0/block1a/
       (Z,N)     E_HFB_LN(MeV)       beta2_in       beta3_in        Q20_out        Q30_out   file#     iter#
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 331
     (18, 8)       -128.525739            0.0            0.0           -0.0            0.0    9008        27
     (18, 8)       -128.525739            0.0            0.3            0.0           -0.0    9053        81
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 27
    (18, 10)       -172.063033          -0.15            0.0      -0.009325         -2e-06    9080        79
    (18, 10)       -172.063033          -0.15            0.1      -0.009323         -1e-06    9095       167
    (18, 10)       -172.063033          -0.15            0.2      -0.009323           -0.0    9110       301
    (18, 10)       -172.063033          -0.15            0.3      -0.009327          1e-06    9125       267
    (18, 10)       -172.063033          -0.15            0.4      -0.009326            0.0    9140       301
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 79
    (18, 12)       -212.883318            0.0            0.0         -1e-06            0.0    9158        35
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 35
    (18, 14)        -250.61128            0.2            0.0       0.001051            0.0    9237        35
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 35
    (18, 16)       -281.795113            0.2            0.1       0.000348         -1e-06    9327        58
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 58
    (18, 18)       -306.715364           0.05            0.3       0.000497            0.0    9429       700
    (18, 18)       -306.715364           0.05            0.4       0.000472            0.0    9444       647
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 647
    (18, 20)       -328.431243           0.05            0.2        0.00039            0.0    9489       174
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 174
    (18, 22)       -345.829969           0.05            0.1      -0.000293         -1e-06    9549       354
    (18, 22)       -345.829969           0.05            0.4      -0.000301          1e-06    9594       847
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 354
    (18, 24)        -361.05479            0.0            0.0        2.2e-05           -0.0    9608        23
    (18, 24)        -361.05479            0.0            0.1        2.1e-05            0.0    9623       289
    (18, 24)        -361.05479            0.0            0.2        2.6e-05           -0.0    9638       842
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 23
