 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   Ar       18     18     36          -307.644688               -6.436533              -12.783597            -0.000001            -0.000001              -0.000001              -0.000003                  -0.000002                     -0.000005                   1.686549                1.800594              3.310438             3.264058               3.287330              -0.046381              3.412463          8.748910       14.080674       14.946072      26.262917          -7.096654            
   Ar       18     20     38          -330.559973               -8.687205              -10.650518            -0.000001             0.000000              -0.000001              -0.000002                  -0.000001                     -0.000003                   1.651159                1.956317              3.327808             3.341340               3.334937               0.013533              3.429316         11.084516       18.848321       13.336098      22.915286          -8.695960            
   Ar       18     22     40          -347.513679              -10.793079               -8.538945            -0.000001            -0.000001              -0.000001              -0.000003                  -0.000003                     -0.000007                   1.614783                1.587916              3.341014             3.415610               3.382246               0.074597              3.442133         13.186530       23.141067       10.248970      16.953707          -7.502027            
   Ar       18     24     42          -362.498988              -12.776468               -7.579109            -0.000001            -0.000001              -0.000001              -0.000002                  -0.000003                     -0.000005                   1.605305                1.634431              3.353256             3.482727               3.427838               0.129472              3.454016         14.924080       26.598154        9.103829      14.985309          -9.826375            
   Ar       18     26     44          -376.424698              -14.677004               -6.714135            -0.000012            -0.000011              -0.000012              -0.000031                  -0.000047                     -0.000078                   1.567521                1.642233              3.366630             3.542573               3.471674               0.175944              3.467002         16.699969       30.178860        8.601187      13.925710         -12.223863            
   Ar       18     28     46          -388.454043              -16.419821               -5.615363            -0.000017            -0.000014              -0.000015              -0.000044                  -0.000065                     -0.000109                   1.512248                1.642962              3.382787             3.606158               3.520440               0.223372              3.482693         18.597857       34.146420        7.657271      12.029346         -13.908206            
   Ar       18     30     48          -397.621657              -17.930223               -4.436386            -0.000007            -0.000006              -0.000006              -0.000018                  -0.000030                     -0.000049                   1.484892                1.405525              3.401963             3.690917               3.585289               0.288954              3.501322         20.039798       37.087813        6.108051       9.167615         -15.014034            
   Ar       18     32     50          -404.745004              -19.270212               -3.328241            -0.000001            -0.000001              -0.000001              -0.000002                  -0.000003                     -0.000005                   1.451410                1.437003              3.424750             3.786347               3.660290               0.361598              3.523466         21.545525       40.194253        4.982938       7.123347         -15.911159            
   Ar       18     34     52          -409.403448              -20.596399               -2.287428            -0.000001             0.000000               0.000000              -0.000002                  -0.000002                     -0.000004                   1.442730                1.419945              3.451679             3.880213               3.737439               0.428534              3.549647         22.768911       42.647779        3.757697       4.658445         -16.552697            
   Ar       18     36     54          -412.163237              -22.000991               -1.618071            -0.000001            -0.000001              -0.000001              -0.000003                  -0.000005                     -0.000007                   1.414953                1.399903              3.483309             3.956604               3.805386               0.473295              3.564161         24.196091       45.557915        2.789819       2.759789         -17.107567            
   Ar       18     38     56          -414.314201              -23.437798               -1.116021             0.000000             0.000000               0.000000              -0.000001                  -0.000002                     -0.000003                   1.383007                1.445179              3.516507             4.019028               3.864636               0.502521              3.596613         25.651088       48.525275        2.498024       2.150965         -19.408880            
   Ar       18     40     58          -415.519380              -24.830673               -0.451845             0.000000             0.000000               0.000000              -0.000001                  -0.000001                     -0.000002                   1.351691                1.541876              3.547032             4.074744               3.918584               0.527712              3.626464         27.073654       51.426562        2.096117       1.205179         -21.430453            
   Ca       20     14     34          -251.120312                0.541474              -19.715025            -0.000001            -0.000002              -0.000002              -0.000004                  -0.000004                     -0.000007                   1.884995                2.080081              3.395142             3.117677               3.283732              -0.277465              3.511267          2.083383        0.545258       22.852370      41.656158          -9.448407            
   Ca       20     16     36          -286.426880               -1.584998              -16.947057            -0.000001            -0.000001              -0.000001              -0.000003                  -0.000003                     -0.000006                   1.864281                1.810109              3.388559             3.205173               3.308309              -0.183387              3.504902          4.309377        5.045109       19.598379      35.306568          -7.551825            
   Ca       20     18     38          -317.417985               -3.748548              -15.023029            -0.000001            -0.000001              -0.000001              -0.000002                  -0.000002                     -0.000004                   1.835968                1.805782              3.397652             3.289141               3.346691              -0.108512              3.513694          6.647908        9.773298       17.303498      30.991106          -7.736214            
   Ca       20     20     40          -344.940100               -5.871595              -12.770139             0.000000             0.000000               0.000000              -0.000001                  -0.000001                     -0.000002                   1.830553                1.943842              3.409512             3.361967               3.385823              -0.047545              3.508657          8.930920       14.380127       15.635870      27.522115          -8.995412            
   Ca       20     22     42          -366.054844               -7.869147              -10.507954            -0.000001            -0.000001              -0.000001              -0.000002                  -0.000002                     -0.000004                   1.807963                1.546322              3.418684             3.433269               3.426331               0.014586              3.517571         10.981956       18.541165       12.302455      21.114745          -7.194871            
   Ca       20     24     44          -384.981642               -9.779490               -9.477913            -0.000001            -0.000001              -0.000001              -0.000002                  -0.000004                     -0.000006                   1.826165                1.571594              3.427657             3.497693               3.466034               0.070036              3.526292         12.957063       22.482655       11.022358      18.926799          -9.167963            
   Ca       20     26     46          -402.821288              -11.602715               -8.531330            -0.000001            -0.000001              -0.000001              -0.000002                  -0.000004                     -0.000006                   1.796168                1.595892              3.438217             3.554945               3.504672               0.116729              3.536558         14.880140       26.396591       10.503566      17.839646         -12.022300            
   Ca       20     28     48          -418.536033              -13.287217               -7.213626            -0.000001            -0.000001              -0.000001              -0.000002                  -0.000003                     -0.000004                   1.774303                1.660831              3.452199             3.614169               3.547580               0.161971              3.550152         16.684271       30.081990        9.485734      15.714745         -13.811335            
