 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   O        8      34     42          -169.152683              -32.613739                1.708658             0.000000             0.000000               0.000000               0.000000                   0.000000                     -0.000001                   2.321755                1.443530              2.968956             4.318817               4.096142               1.349862              3.025277         37.749072       71.368884       -0.063255      -3.066212         -38.146571            
   O        8      36     44          -163.653219              -33.020671                2.443596            -0.000001             0.000000               0.000000               0.000000                  -0.000002                     -0.000002                   2.307411                0.928881              2.976967             4.528416               4.288289               1.551449              3.033140         37.876055       71.662352       -1.563527      -5.499464         -37.569420            
   O        8      38     46          -157.514453              -33.114952                2.650088            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000011                     -0.000011                   2.293026                0.856926              2.982947             4.744347               4.487953               1.761401              3.039009           No_Data         No_Data       -2.176480      -6.138767         -37.223585            
   O        8      40     48          -151.629585              -33.225704                2.671101             0.000000             0.000000               0.000000               0.000000                  -0.000006                     -0.000006                   2.279817                0.877412              2.991513             4.921327               4.655578               1.929814              3.028309           No_Data         No_Data       -2.075266      -5.884869            No_Data            
   Ne       10     2      12           -16.009637                4.256927              -27.614627             0.000001             0.000000               0.000001               0.000001                   0.000000                      0.000001                   1.573690                4.774023              3.732071             2.095017               3.512617              -1.637055              3.838015         -3.059985      -10.020561         No_Data        No_Data            No_Data            
   Ne       10     4      14           -61.419461                2.084235              -23.583254            -0.000001            -0.000001              -0.000001              -0.000001                   0.000000                     -0.000002                   1.929512                2.578369              3.120264             2.368801               2.925325              -0.751464              3.246236         -0.722881       -5.982030       26.381108      45.409825          -7.089264            
   Ne       10     6      16          -104.964003               -0.997215              -20.074595            -0.000001            -0.000001              -0.000001              -0.000001                   0.000000                     -0.000001                   2.110146                2.889360              2.879415             2.509725               2.746619              -0.369690              3.015466          2.867008        1.057568       24.506136      43.544543          -9.262513            
   Ne       10     8      18          -137.483993               -4.329741              -14.721793            -0.000001             0.000000              -0.000001              -0.000001                   0.000000                     -0.000001                   1.984471                2.583105              2.833713             2.655510               2.755935              -0.178203              2.971857          6.585709        8.627557       18.996228      32.519990          -5.277558            
   Ne       10     10     20           -159.62262               -7.402130              -11.397428            -0.000003            -0.000003              -0.000003              -0.000003                  -0.000003                     -0.000006                   1.843837                1.919997              2.823551             2.793592               2.808611              -0.029960              2.942506          9.609773       14.876363       13.320865      22.138628          -2.466184            
   Ne       10     12     22          -180.087753              -10.568037               -9.951879             0.226455             0.208895               0.216650               0.232078                   0.270673                      0.502751                   1.745064                1.959470              2.850167             2.925586               2.891548               0.075420              2.968056         12.914887       21.627140       12.172300      20.465133          -7.041496            
   Ne       10     14     24          -196.932899              -12.899090               -8.368815            -0.000009            -0.000006              -0.000007              -0.000009                  -0.000009                     -0.000019                   1.584432                1.947746              2.833736             2.999220               2.931404               0.165485              2.952281         15.213647       26.446453       10.376182      16.845146         -10.172286            
   Ne       10     16     26          -209.966657              -15.203405               -5.476673            -0.000003            -0.000001              -0.000002              -0.000003                  -0.000002                     -0.000006                   1.488828                2.059654              2.857966             3.128594               3.027371               0.270629              2.975546         17.447519       31.058080        8.520580      13.033759         -11.180211            
