Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
112    250    362    0.03369             -2279.305667        -2279.339357        0.065958       0.397515       0.394495       0.00302        
112    264    376    -1.295504           -2284.201842        -2282.906338        0.110885       0.041056       -0.032952      0.074008       
112    266    378    -2.154162           -2284.396129        -2282.241967        0.130005       0.048448       -0.053206      0.101654       
112    268    380    -2.612199           -2284.181811        -2281.569612        0.14203        0.050321       0.080892       -0.030571      
112    270    382    -2.075948           -2283.445059        -2281.369111        0.151228       0.046481       0.097111       -0.05063       
114    240    354    -0.00028            -2294.56308         -2294.5628          0.025872       0.152426       0.147716       0.00471        
114    242    356    -0.000762           -2297.078478        -2297.077716        0.022219       0.138719       0.134453       0.004266       
114    244    358    -0.001289           -2299.40844         -2299.407151        0.017376       0.127158       0.124045       0.003113       
114    264    378    -1.116717           -2313.252519        -2312.135802        0.100402       0.041889       -0.031333      0.073222       
114    266    380    -1.77798            -2313.790952        -2312.012972        0.12304        0.048708       -0.049692      0.0984         
114    268    382    -2.415552           -2313.980519        -2311.564967        0.136834       0.049739       -0.059273      0.109012       
114    270    384    -2.167588           -2313.675426        -2311.507838        0.147372       0.044644       0.08497        -0.040326      
114    278    392    -0.007411           -2312.328995        -2312.321584        0.119008       0.304496       0.280965       0.023531       
116    162    278    -0.054838           -1975.028537        -1974.973699        0.069129       0.224586       0.209109       0.015477       
116    164    280    -0.004911           -1991.417532        -1991.412621        0.065003       0.216228       0.200117       0.016111       
