Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
110    276    386    -2248.870442            86.392946      0.0            5114      YES            
112    158    270    -1943.220668            30.132061      0.0            5129      YES            
112    188    300    -2123.530486            3e-06          0.0            5143      YES            
112    190    302    -2131.444972            -9.995711      0.0            5159      YES            
112    192    304    -2139.390806            -18.963844     0.0            5174      YES            
112    194    306    -2147.637303            18.812698      0.0            5195      YES            
112    196    308    -2155.924337            22.029869      0.0            5212      YES            
112    198    310    -2161.835033            -38.459343     0.0            5223      YES            
112    200    312    -2169.087445            -40.989169     0.0            5240      YES            
112    214    326    -2221.482767            43.533538      0.0            5270      YES            
112    264    376    -2282.906338            -7.569582      0.0            5277      YES            
112    266    378    -2282.241967            -12.403006     0.0            5294      YES            
112    268    380    -2281.569612            19.048194      0.0            5316      YES            
112    270    382    -2281.369111            23.157525      0.0            5333      YES            
114    190    304    -2142.627898            -9.060745      0.0            5346      YES            
114    192    306    -2151.043548            -17.851114     0.0            5361      YES            
114    194    308    -2159.494078            15.566774      0.0            5382      YES            
114    196    310    -2168.203975            18.333648      0.0            5399      YES            
114    198    312    -2176.6372              20.690916      0.0            5416      YES            
114    240    354    -2294.5628              30.542863      0.0            5436      YES            
114    242    356    -2297.077716            28.028068      0.0            5453      YES            
114    244    358    -2299.407151            26.071948      0.0            5470      YES            
114    264    378    -2312.135802            -7.243062      0.0            5482      YES            
114    266    380    -2312.012972            -11.6444       0.0            5498      YES            
114    268    382    -2311.564967            -14.055307     0.0            5515      YES            
114    270    384    -2311.507838            20.3645        0.0            5537      YES            
114    272    386    -2311.49218             23.619394      0.0            5554      YES            
114    278    392    -2312.321584            72.068264      0.0            5569      YES            
116    162    278    -1974.973699            28.221162      0.0            5589      YES            
116    164    280    -1991.412621            27.307755      0.0            5605      YES            
116    168    284    -2021.043691            24.814674      0.0            5623      YES            
116    170    286    -2035.031545            22.433237      0.0            5640      YES            
116    190    306    -2152.265078            -8.958765      0.0            5652      YES            
116    192    308    -2161.369995            -16.557142     0.0            5667      YES            
116    194    310    -2170.191778            -17.433884     0.0            5684      YES            
116    196    312    -2179.234675            15.663572      0.0            5705      YES            
116    198    314    -2188.136056            17.523957      0.0            5722      YES            
116    214    330    -2254.026237            45.41711       0.0            5746      YES            
116    236    352    -2310.795202            34.871792      0.0            5759      YES            
116    240    356    -2316.98156             30.152742      0.0            5776      YES            
116    242    358    -2319.999057            27.20824       0.0            5793      YES            
116    264    380    -2340.060969            -6.67533       0.0            5805      YES            
116    266    382    -2340.416697            -11.301244     0.0            5821      YES            
116    268    384    -2340.422913            -13.610218     0.0            5838      YES            
116    270    386    -2340.520097            17.912022      0.0            5860      YES            
116    272    388    -2342.18384             89.264414      0.0            5878      YES            
116    280    396    -2342.589951            73.586023      0.0            5892      YES            
116    282    398    -2342.364332            72.560847      0.0            5909      YES            
116    292    408    -2340.451142            61.844408      0.0            5929      YES            
116    298    414    -2337.25118             63.845243      0.0            5946      YES            
116    300    416    -2335.760581            64.421279      0.0            5963      YES            
118    162    280    -1972.156731            29.509821      0.0            5979      YES            
118    164    282    -1989.172563            28.12644       0.0            5996      YES            
118    166    284    -2005.017034            26.458804      0.0            6014      YES            
118    188    306    -2150.242325            -0.021261      0.0            6026      YES            
118    190    308    -2160.159497            -9.244385      0.0            6043      YES            
118    192    310    -2170.085487            -17.120456     0.0            6059      YES            
118    194    312    -2179.52351             -17.954833     0.0            6076      YES            
118    196    314    -2188.616878            13.781267      0.0            6096      YES            
118    198    316    -2198.090936            15.465522      0.0            6113      YES            
118    200    318    -2207.29637             16.651795      0.0            6130      YES            
118    204    322    -2227.765872            52.157631      0.0            6153      YES            
118    210    328    -2252.687463            47.137196      0.0            6171      YES            
118    212    330    -2260.51209             46.098935      0.0            6188      YES            
118    238    356    -2333.755376            33.515023      0.0            6201      YES            
118    264    382    -2366.413059            -6.448142      0.0            6213      YES            
118    266    384    -2367.258725            -11.22611      0.0            6229      YES            
118    268    386    -2367.730281            -13.641869     0.0            6246      YES            
118    270    388    -2368.077903            -15.222212     0.0            6263      YES            
118    272    390    -2369.743935            86.10295       0.0            6290      YES            
118    274    392    -2370.537829            83.663004      0.0            6307      YES            
118    280    398    -2371.946862            75.689816      0.0            6320      YES            
118    282    400    -2372.066018            74.928731      0.0            6337      YES            
118    284    402    -2372.032811            73.267871      0.0            6351      YES            
118    288    406    -2371.803048            61.315389      0.0            6371      YES            
118    290    408    -2371.754269            61.242821      0.0            6388      YES            
118    292    410    -2371.541122            61.63523       0.0            6405      YES            
118    296    414    -2370.494712            62.606851      0.0            6422      YES            
118    298    416    -2369.599905            63.100983      0.0            6439      YES            
118    300    418    -2368.496865            63.544105      0.0            6456      YES            
120    188    308    -2155.990047            -28.907433     0.0            6464      YES            
120    190    310    -2166.842417            -30.083405     0.0            6481      YES            
120    192    312    -2177.287801            -31.075253     0.0            6498      YES            
120    194    314    -2187.388686            -32.006005     0.0            6515      YES            
120    196    316    -2197.178931            -32.888945     0.0            6532      YES            
120    198    318    -2206.680874            -33.917528     0.0            6548      YES            
120    200    320    -2215.916853            -34.741377     0.0            6565      YES            
120    208    328    -2255.805876            50.353197      0.0            6596      YES            
120    210    330    -2264.368599            48.379929      0.0            6613      YES            
120    262    382    -2390.807089            -0.169483      0.0            6625      YES            
120    264    384    -2391.270464            -1.23632       0.0            6641      YES            
120    266    386    -2392.490596            -11.457989     0.0            6654      YES            
120    268    388    -2393.32732             -15.238437     0.0            6669      YES            
120    270    390    -2394.881542            87.236257      0.0            6698      YES            
120    272    392    -2396.21922             84.025244      0.0            6715      YES            
120    274    394    -2397.401156            82.20993       0.0            6732      YES            
120    282    402    -2400.507302            75.787994      0.0            6745      YES            
120    284    404    -2400.860428            74.872927      0.0            6762      YES            
120    286    406    -2401.029658            73.389708      0.0            6779      YES            
120    288    408    -2401.033376            64.373996      0.0            6796      YES            
120    290    410    -2401.30878             61.303898      0.0            6813      YES            
120    298    418    -2400.751921            62.064892      0.0            6830      YES            
