Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
110    196    306    0.013233            -2124.803646        -2124.816879        0.010084       0.368153       0.368836       -0.000683      
110    262    372    -0.096772           -2197.562585        -2197.465813        0.013574       0.387359       0.388312       -0.000953      
112    162    274    0.025236            -1964.491029        -1964.516265        0.041205       0.23355        0.228618       0.004932       
112    188    300    0.032632            -2106.087626        -2106.120258        0.140216       0.428315       0.416163       0.012152       
112    190    302    0.025118            -2114.844379        -2114.869497        0.109987       0.411575       0.403333       0.008242       
112    192    304    0.030409            -2123.506812        -2123.537221        0.072031       0.399306       0.395688       0.003618       
112    274    386    -0.002347           -2219.377714        -2219.375367        0.088033       0.358883       0.352047       0.006836       
112    276    388    -0.000363           -2217.39212         -2217.391757        0.066316       0.35169        0.347667       0.004023       
112    284    396    -0.026962           -2206.572103        -2206.545141        0.095149       0.23825        0.214352       0.023898       
112    286    398    -0.03572            -2204.221647        -2204.185927        0.09531        0.241094       0.21792        0.023174       
114    160    274    0.021683            -1949.008245        -1949.029928        0.037384       0.225017       0.220648       0.004369       
114    162    276    -0.000202           -1965.524131        -1965.523929        0.031726       0.220432       0.217117       0.003315       
114    190    304    0.03563             -2126.007565        -2126.043195        0.122599       0.424479       0.414875       0.009604       
114    192    306    0.03005             -2135.186895        -2135.216945        0.097994       0.412857       0.406378       0.006479       
114    272    386    -0.001118           -2253.447492        -2253.446374        0.076812       0.367445       0.362527       0.004918       
114    274    388    -0.000524           -2252.116593        -2252.116069        0.051681       0.359079       0.356757       0.002322       
114    284    398    -0.034024           -2240.882087        -2240.848063        0.096391       0.245963       0.222638       0.023325       
114    286    400    -0.033993           -2238.951233        -2238.91724         0.095543       0.245784       0.223235       0.022549       
114    288    402    -0.028997           -2236.910331        -2236.881334        0.094172       0.24602        0.224599       0.021421       
114    290    404    -0.019925           -2234.705071        -2234.685146        0.092105       0.245418       0.225105       0.020313       
114    292    406    -0.006466           -2232.255802        -2232.249336        0.089826       0.24409        0.22471        0.01938        
114    296    410    -0.003779           -2226.342038        -2226.338259        0.085813       0.240889       0.222728       0.018161       
116    160    276    0.019633            -1947.692986        -1947.712619        0.03385        0.215482       0.211578       0.003904       
116    190    306    0.034194            -2135.885075        -2135.919269        0.136813       0.441798       0.430914       0.010884       
116    192    308    0.03541             -2145.41947         -2145.45488         0.112963       0.428275       0.420307       0.007968       
116    194    310    0.033681            -2154.770601        -2154.804282        0.071387       0.415962       0.412684       0.003278       
116    284    400    0.077827            -2274.263419        -2274.341246        0.078822       0.28727        0.335336       -0.048066      
116    286    402    -0.016658           -2272.310238        -2272.29358         0.096271       0.262932       0.246966       0.015966       
116    288    404    -0.036178           -2270.585736        -2270.549558        0.092605       0.247674       0.229364       0.01831        
116    290    406    -0.030316           -2268.777605        -2268.747289        0.090279       0.245358       0.225847       0.019511       
116    292    408    -0.017638           -2266.756842        -2266.739204        0.087264       0.242862       0.22433        0.018532       
116    294    410    -0.004739           -2264.401484        -2264.396745        0.085039       0.240664       0.222761       0.017903       
116    296    412    -0.00433            -2261.681658        -2261.677328        0.082895       0.238673       0.221383       0.01729        
116    298    414    -0.01265            -2258.710966        -2258.698316        0.081129       0.236914       0.220093       0.016821       
116    300    416    -0.009956           -2255.638179        -2255.628223        0.078255       0.234409       0.218814       0.015595       
