Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
114    198    312    -0.021094           -2176.083417        -2176.062323        0.033764       -0.243811      -0.244733      0.000922       
114    200    314    -0.039264           -2184.075645        -2184.036381        0.058091       -0.25009       -0.253633      0.003543       
114    266    380    -0.746427           -2319.714763        -2318.968336        0.108918       0.043249       0.049893       -0.006644      
114    268    382    -0.902852           -2319.392753        -2318.489901        0.130862       0.06231        0.077885       -0.015575      
114    270    384    -0.708993           -2318.88766         -2318.178667        0.127216       0.087646       0.098762       -0.011116      
114    272    386    -0.277303           -2318.353264        -2318.075961        0.127258       0.117009       0.121217       -0.004208      
114    280    394    -0.00304            -2320.087804        -2320.084764        0.067259       0.225044       0.212337       0.012707       
114    282    396    -0.001264           -2320.350329        -2320.349065        0.070084       0.230843       0.218097       0.012746       
114    288    402    -0.001277           -2320.168872        -2320.167595        0.074975       0.242973       0.230699       0.012274       
116    190    306    -0.32876            -2152.425467        -2152.096707        0.095565       0.057711       -0.04654       0.104251       
116    192    308    -0.564727           -2161.52665         -2160.961923        0.118842       0.076301       -0.076659      0.15296        
116    194    310    -0.371414           -2170.381986        -2170.010572        0.118641       0.099418       -0.219631      0.319049       
116    196    312    -0.159722           -2179.115838        -2178.956116        0.117052       0.12098        -0.229167      0.350147       
116    198    314    -0.021009           -2187.672074        -2187.651065        0.082045       0.142227       -0.239051      0.381278       
116    266    382    -0.695918           -2347.546103        -2346.850185        0.099141       0.045813       0.003381       0.042432       
116    268    384    -1.079577           -2347.606317        -2346.52674         0.1196         0.050251       0.060553       -0.010302      
116    270    386    -0.877167           -2347.252107        -2346.37494         0.130027       0.074795       0.08458        -0.009785      
116    272    388    -0.310205           -2347.05993         -2346.749725        0.111704       0.107475       -0.327489      0.434964       
116    282    398    -0.006157           -2350.152432        -2350.146275        0.07094        0.227126       0.213298       0.013828       
116    284    400    -0.002223           -2350.563798        -2350.561575        0.073141       0.232215       0.218507       0.013708       
118    190    308    -0.38132            -2160.555968        -2160.174648        0.089686       0.052889       -0.039994      0.092883       
118    192    310    -0.563871           -2170.229427        -2169.665556        0.116184       0.069142       -0.070136      0.139278       
118    194    312    -0.351019           -2179.604689        -2179.25367         0.125367       0.086425       -0.210937      0.297362       
118    196    314    -0.086812           -2188.771499        -2188.684687        0.123967       0.103241       -0.220146      0.323387       
118    202    320    -0.014801           -2215.766637        -2215.751836        0.059036       -0.262521      -0.267253      0.004732       
