Z      N      A      Binding_Energy_(MeV)    Q20_T          Q30_T          fileID                Convergence    
32     60     92     -732.469008             -4.760183      0.000291       blockblock1b-008613   YES            
32     62     94     -735.7664               -4.95437       0.001247       blockblock1b-008676   YES            
32     64     96     -738.589182             -5.151568      0.003536       blockblock1b-008737   YES            
32     66     98     -740.858915             -5.364744      0.000768       blockblock1b-008827   YES            
32     68     100    -742.275781             -5.486954      0.027462       blockblock1b-008888   YES            
32     70     102    -743.237069             6.57858        0.000604       blockblock1b-008993   YES            
32     72     104    -744.109137             6.108025       -3.9e-05       blockblock1b-009068   YES            
32     74     106    -744.626257             5.441854       -0.00036       blockblock1b-009142   YES            
32     76     108    -744.793608             4.697023       0.000548       blockblock1b-009217   YES            
32     78     110    -744.447056             4.361522       0.000754       blockblock1b-009293   YES            
32     80     112    -743.203296             4.643947       0.000205       blockblock1b-009340   YES            
32     82     114    -741.097687             5.060563       -8.1e-05       blockblock1b-009400   YES            
32     84     116    -738.327752             5.573141       -0.001049      blockblock1b-009523   YES            
32     86     118    -734.960119             5.424315       0.000718       blockblock1b-009553   YES            
32     88     120    -731.464693             -5.334497      5e-05          blockblock1b-009619   YES            
34     24     58     -412.504408             1.043302       -0.000153      blockblock1b-009728   YES            
34     26     60     -451.601052             1.349594       0.000406       blockblock1b-009789   YES            
34     28     62     -487.806703             -1.524561      -0.001191      blockblock1b-009882   YES            
34     30     64     -519.025911             -2.132822      0.005262       blockblock1b-009904   YES            
34     32     66     -548.024429             -2.682051      0.000684       blockblock1b-009995   YES            
34     34     68     -575.045909             -3.029149      -0.000147      blockblock1b-010055   YES            
34     36     70     -598.828626             -3.008582      -0.000466      blockblock1b-010128   YES            
34     38     72     -621.056679             -2.665683      -0.000183      blockblock1b-010262   YES            
34     40     74     -641.92449              -2.70324       4e-05          blockblock1b-010323   YES            
34     42     76     -660.921783             -0.037469      6.4e-05        blockblock1b-010352   YES            
34     44     78     -679.64343              1.960113       0.008445       blockblock1b-010484   YES            
34     46     80     -697.495886             2.459839       -0.006053      blockblock1b-010513   YES            
34     48     82     -713.254568             2.31213        0.065782       blockblock1b-010604   YES            
34     50     84     -726.787284             1.508747       0.001225       blockblock1b-010680   YES            
34     52     86     -737.268151             2.352518       7e-05          blockblock1b-010739   YES            
34     54     88     -746.515733             3.364811       4.6e-05        blockblock1b-010814   YES            
34     56     90     -754.560221             4.108226       0.006619       blockblock1b-010920   YES            
