Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  Q20_control (b)
116    288    404    -0.033665           -2335.057523        -2335.023858        0.090978       0.242512       0.221577       59.116892      
116    290    406    -0.025153           -2334.43756         -2334.412407        0.091729       0.244369       0.223506       60.220696      
116    292    408    -0.019922           -2333.598801        -2333.578879        0.092192       0.245438       0.224629       61.120769      
116    294    410    -0.003643           -2332.543742        -2332.540099        0.092417       0.245922       0.225159       61.86366       
118    192    310    -0.041648           -2164.715471        -2164.673823        0.084729       -0.34926       -61.404729     0.0            
118    194    312    -0.028903           -2175.11771         -2175.088807        0.090192       -0.351656      -62.814765     0.0            
118    196    314    -0.026291           -2185.077339        -2185.051048        0.094133       -0.354465      -64.262141     0.0            
118    198    316    -0.027272           -2194.583823        -2194.556551        0.098946       -0.35715       -65.764033     0.0            
118    200    318    -0.002433           -2203.688683        -2203.68625         0.103107       -0.36017       -67.266619     0.0            
118    202    320    0.000688            -2212.469575        -2212.470263        0.107385       -0.363195      -68.859348     0.0            
118    266    384    -0.439581           -2364.081211        -2363.64163         0.07824        0.042046       0.003585       0.83327        
118    268    386    -0.903047           -2364.158859        -2363.255812        0.098277       0.051342       0.013993       3.291857       
118    270    388    -1.031074           -2363.95663         -2362.925556        0.105914       0.057799       -0.346448      -88.860671     
118    272    390    -0.076336           -2363.543783        -2363.467447        0.097796       0.073877       -0.343958      -89.033905     
118    284    402    -0.044274           -2365.375607        -2365.331333        0.085214       0.228762       0.206298       54.17667       
118    286    404    -0.040506           -2365.42122         -2365.380714        0.087536       0.233701       0.211605       56.133129      
118    288    406    -0.040225           -2365.315433        -2365.275208        0.089346       0.237468       0.215609       57.765256      
118    290    408    -0.033961           -2365.04204         -2365.008079        0.090389       0.240049       0.218482       59.117245      
118    292    410    -0.019689           -2364.576204        -2364.556515        0.091131       0.241724       0.220621       60.300659      
118    294    412    -0.015612           -2363.918259        -2363.902647        0.091394       0.242586       0.221595       61.157353      
118    296    414    -0.002979           -2363.062316        -2363.059337        0.09131        0.242821       0.221972       61.847089      
120    166    286    1.205212            -1994.063245        -1995.268457        0.142002       -0.37536       74.437879      0.0            
120    168    288    0.083926            -2011.854122        -2011.938048        0.022142       0.492321       75.224579      0.0            
120    192    312    -0.285614           -2171.571873        -2171.286259        0.067581       0.048545       -63.273176     0.0            
120    194    314    -0.021634           -2182.420072        -2182.398438        0.096478       -0.356713      -64.696403     0.0            
120    196    316    -0.017469           -2193.102462        -2193.084993        0.100232       -0.359711      -66.196465     0.0            
120    198    318    0.008396            -2203.351627        -2203.360023        0.104171       -0.362855      -67.714638     0.0            
120    200    320    0.006935            -2213.211867        -2213.218802        0.108261       -0.366006      -69.318441     0.0            
120    204    324    -0.003366           -2231.947981        -2231.944615        0.115193       -0.371965      -72.53871      0.0            
120    266    386    -0.639612           -2389.700236        -2389.060624        0.08623        0.031975       0.002472       0.579822       
120    268    388    -1.13586            -2390.239051        -2389.103191        0.100074       0.048026       0.005966       1.414802       
120    270    390    -1.205633           -2390.480261        -2389.274628        0.108143       0.052317       -95.937704     0.0            
120    272    392    -0.237233           -2390.457684        -2390.220451        0.109237       0.057396       -96.506995     0.0            
120    284    404    -0.035917           -2393.843295        -2393.807378        0.081703       0.220113       0.197176       52.012487      
120    286    406    -0.032919           -2394.179324        -2394.146405        0.084421       0.225744       0.203042       54.095862      
120    288    408    -0.030142           -2394.376687        -2394.346545        0.086659       0.230636       0.208184       56.010572      
120    290    410    -0.036253           -2394.435995        -2394.399742        0.088264       0.234519       0.212376       57.698552      
120    292    412    -0.032392           -2394.337789        -2394.305397        0.089387       0.237255       0.215393       59.08994       
120    294    414    -0.018924           -2394.06366         -2394.044736        0.089942       0.238797       0.217679       60.3039        
120    296    416    -0.004552           -2393.603826        -2393.599274        0.09004        0.239449       0.218451       61.087813      
14     2      16     -0.166986           11.253816           11.420802           -0.0           -0.389116      -0.341791      -1.404701      
102    130    232    -1.12106            -1692.432658        -1691.311598        -0.000124      0.360008       -0.289922      -29.384038     
104    134    238    -2.547143           -1728.78855         -1726.241407        -0.000112      0.373883       -0.301468      -32.040664     
104    136    240    -2.856063           -1747.737625        -1744.881562        -3.1e-05       0.353171       -0.30637       -33.086211     
104    192    296    -1.367109           -2078.333506        -2076.966397        0.002124       0.360333       0.12979        19.429569      
106    190    296    -1.712427           -2088.388526        -2086.676099        0.000505       0.381248       0.082902       12.219599      
106    192    298    -2.180065           -2095.667896        -2093.487831        0.000487       0.371072       0.128048       19.317073      
108    190    298    -1.984604           -2103.334146        -2101.349542        0.001112       0.38811        0.075164       11.173708      
108    192    300    -2.586088           -2111.210587        -2108.624499        -6.8e-05       0.37964        0.121075       18.386143      
108    270    378    -0.957981           -2214.098794        -2213.140813        0.000566       0.360683       0.120933       28.474656      
108    272    380    -0.866776           -2212.871294        -2212.004518        -0.000204      0.356441       0.140875       33.632336      
110    190    300    -1.991081           -2116.732446        -2114.741365        -0.000704      0.397192       0.062929       9.440952       
