Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       Q20_control (b)
114    190    304    0.04165             -2139.038247        -2139.079897        0.229714       0.456441       70.154473      
114    192    306    -2.519165           -2148.624492        -2146.105327        0.221118       0.444986       12.298366      
114    200    314    -3.994861           -2182.977313        -2178.982452        0.144898       0.402699       -41.675743     
114    202    316    -3.72936            -2190.506206        -2186.776846        0.142713       0.392976       -43.86071      
114    224    338    0.013998            -2261.895463        -2261.909461        0.019722       0.21185        40.057567      
114    266    380    -0.516884           -2308.774135        -2308.257251        0.095213       0.044787       1.664267       
114    282    396    -0.027734           -2305.384178        -2305.356444        0.08551        0.23161        54.540842      
114    284    398    -0.022008           -2304.915322        -2304.893314        0.087813       0.236892       56.420779      
114    286    400    -0.020533           -2304.310788        -2304.290255        0.089707       0.241076       58.048399      
114    288    402    -0.013936           -2303.53512         -2303.521184        0.091009       0.244039       59.402328      
114    290    404    -0.014643           -2302.552201        -2302.537558        0.092036       0.246012       60.49365       
114    292    406    -0.009266           -2301.327729        -2301.318463        0.092588       0.247056       61.363544      
114    294    408    -0.00566            -2299.879597        -2299.873937        0.092585       0.247356       62.059294      
114    296    410    -0.004752           -2298.252151        -2298.247399        0.092577       0.247253       62.614332      
116    192    308    -0.21905            -2156.190472        -2155.971422        0.074521       0.074383       -9.494271      
116    194    310    -1.002797           -2165.924413        -2164.921616        0.086612       -0.347733      -21.653565     
116    198    314    -0.004661           -2184.056111        -2184.05145         0.094861       -0.352701      -64.011776     
116    200    316    -0.002259           -2192.487144        -2192.484885        0.098798       -0.355259      -65.447218     
116    266    382    -0.371077           -2337.044876        -2336.673799        0.083065       0.043722       1.06524        
116    268    384    -0.826708           -2336.720063        -2335.893355        0.104951       0.053053       8.329446       
116    270    386    -0.682281           -2336.089007        -2335.406726        0.110825       0.061887       18.009093      
116    284    400    -0.040755           -2335.736708        -2335.695953        0.087646       0.235283       56.139373      
116    286    402    -0.0343             -2335.474349        -2335.440049        0.089479       0.239432       57.764372      
116    288    404    -0.033665           -2335.057523        -2335.023858        0.090978       0.242512       59.116892      
116    290    406    -0.025153           -2334.43756         -2334.412407        0.091729       0.244369       60.220696      
116    292    408    -0.019922           -2333.598801        -2333.578879        0.092192       0.245438       61.120769      
116    294    410    -0.003643           -2332.543742        -2332.540099        0.092417       0.245922       61.86366       
118    192    310    -0.250184           -2164.715471        -2164.465287        0.084729       -0.34926       -8.476986      
118    194    312    -1.223996           -2175.11771         -2173.893714        0.090192       -0.351656      -12.5271       
118    196    314    -1.74756            -2185.077339        -2183.329779        0.094133       -0.354465      -22.594865     
118    198    316    -2.241852           -2194.583823        -2192.341971        0.098946       -0.35715       -24.517226     
118    200    318    -0.002433           -2203.688683        -2203.68625         0.103107       -0.36017       -67.266619     
118    202    320    0.000688            -2212.469575        -2212.470263        0.107385       -0.363195      -68.859348     
118    266    384    -0.439581           -2364.081211        -2363.64163         0.07824        0.042046       0.83327        
118    268    386    -0.903047           -2364.158859        -2363.255812        0.098277       0.051342       3.291857       
118    270    388    -1.031074           -2363.95663         -2362.925556        0.105914       0.057799       -88.860671     
118    272    390    -0.076336           -2363.543783        -2363.467447        0.097796       0.073877       -89.033905     
118    284    402    -0.044274           -2365.375607        -2365.331333        0.085214       0.228762       54.17667       
118    286    404    -0.040506           -2365.42122         -2365.380714        0.087536       0.233701       56.133129      
118    288    406    -0.040225           -2365.315433        -2365.275208        0.089346       0.237468       57.765256      
118    290    408    -0.033961           -2365.04204         -2365.008079        0.090389       0.240049       59.117245      
118    292    410    -0.019689           -2364.576204        -2364.556515        0.091131       0.241724       60.300659      
118    294    412    -0.015612           -2363.918259        -2363.902647        0.091394       0.242586       61.157353      
118    296    414    -0.002979           -2363.062316        -2363.059337        0.09131        0.242821       61.847089      
120    166    286    1.205212            -1994.063245        -1995.268457        0.142002       -0.37536       74.437879      
120    168    288    0.083926            -2011.854122        -2011.938048        0.022142       0.492321       75.224579      
120    192    312    -0.322504           -2171.571873        -2171.249369        0.067581       0.048545       -6.216754      
120    194    314    -1.115789           -2182.420072        -2181.304283        0.096478       -0.356713      -21.604879     
120    196    316    -1.839522           -2193.102462        -2191.26294         0.100232       -0.359711      -24.977222     
120    198    318    0.008396            -2203.351627        -2203.360023        0.104171       -0.362855      -67.714638     
120    200    320    0.006935            -2213.211867        -2213.218802        0.108261       -0.366006      -69.318441     
120    204    324    -2.804871           -2231.947981        -2229.14311         0.115193       -0.371965      -47.751404     
120    266    386    -0.639612           -2389.700236        -2389.060624        0.08623        0.031975       0.579822       
120    268    388    -1.13586            -2390.239051        -2389.103191        0.100074       0.048026       1.414802       
120    270    390    -1.37765            -2390.480261        -2389.102611        0.108143       0.052317       5.67499        
120    272    392    -0.939503           -2390.457684        -2389.518181        0.109237       0.057396       -67.10226      
120    284    404    -0.035917           -2393.843295        -2393.807378        0.081703       0.220113       52.012487      
120    286    406    -0.032919           -2394.179324        -2394.146405        0.084421       0.225744       54.095862      
120    288    408    -0.030142           -2394.376687        -2394.346545        0.086659       0.230636       56.010572      
120    290    410    -0.036253           -2394.435995        -2394.399742        0.088264       0.234519       57.698552      
120    292    412    -0.032392           -2394.337789        -2394.305397        0.089387       0.237255       59.08994       
120    294    414    -0.018924           -2394.06366         -2394.044736        0.089942       0.238797       60.3039        
120    296    416    -0.004552           -2393.603826        -2393.599274        0.09004        0.239449       61.087813      
14     2      16     -0.166986           11.253816           11.420802           -0.0           -0.389116      -1.404701      
102    130    232    -1.12106            -1692.432658        -1691.311598        -0.000124      0.360008       -29.384038     
104    134    238    -2.547143           -1728.78855         -1726.241407        -0.000112      0.373883       -32.040664     
104    136    240    -2.856063           -1747.737625        -1744.881562        -3.1e-05       0.353171       -33.086211     
104    192    296    -1.367109           -2078.333506        -2076.966397        0.002124       0.360333       19.429569      
106    190    296    -1.712427           -2088.388526        -2086.676099        0.000505       0.381248       12.219599      
106    192    298    -2.180065           -2095.667896        -2093.487831        0.000487       0.371072       19.317073      
108    190    298    -1.984604           -2103.334146        -2101.349542        0.001112       0.38811        11.173708      
108    192    300    -2.586088           -2111.210587        -2108.624499        -6.8e-05       0.37964        18.386143      
108    270    378    -0.957981           -2214.098794        -2213.140813        0.000566       0.360683       28.474656      
108    272    380    -0.866776           -2212.871294        -2212.004518        -0.000204      0.356441       33.632336      
110    190    300    -1.991081           -2116.732446        -2114.741365        -0.000704      0.397192       9.440952       
110    268    378    -1.429763           -2247.93783         -2246.508067        -1.9e-05       0.367493       21.307447      
110    270    380    -1.778492           -2247.241134        -2245.462642        -3.3e-05       0.362015       26.941664      
110    272    382    -1.74177            -2246.338805        -2244.597035        -0.000445      0.358067       32.142023      
110    274    384    -1.496811           -2245.334543        -2243.837732        0.001941       0.354345       37.176261      
110    276    386    -0.960897           -2244.107789        -2243.146892        -0.000201      0.351583       44.300217      
112    190    302    -1.750638           -2128.624882        -2126.874244        -0.000174      0.408214       6.611654       
112    268    380    -1.605995           -2279.033191        -2277.427196        9.8e-05        0.370911       18.924755      
112    270    382    -2.146965           -2278.758061        -2276.611096        0.000931       0.3649         24.777143      
112    272    384    -2.378162           -2278.350047        -2275.971885        0.000205       0.359785       29.997368      
112    274    386    -2.243158           -2277.698206        -2275.455048        0.000327       0.356108       35.382078      
112    276    388    -1.752082           -2276.882715        -2275.130633        5.7e-05        0.352983       44.310672      
112    278    390    -1.004953           -2275.817534        -2274.812581        -0.000256      0.350757       49.712923      
112    280    392    -0.190455           -2274.502497        -2274.312042        0.000697       0.350716       51.998536      
114    194    308    -3.172128           -2157.899059        -2154.726931        0.001552       0.407012       16.956395      
114    196    310    -3.361621           -2166.724586        -2163.362965        -0.000216      0.401028       20.758762      
114    198    312    -3.130997           -2175.052889        -2171.921892        5e-05          0.394622       24.389017      
114    268    382    -1.310358           -2308.52553         -2307.215172        0.000197       0.380375       15.327314      
114    270    384    -2.005639           -2308.608724        -2306.603085        0.000757       0.372354       21.927424      
114    272    386    -2.422797           -2308.583208        -2306.160411        5.6e-05        0.365772       27.349746      
114    276    390    -2.11545            -2307.996613        -2305.881163        0.000214       0.356555       43.642087      
114    278    392    -1.424461           -2307.28542         -2305.860959        5.2e-05        0.354455       48.599397      
114    280    394    -0.694902           -2306.371483        -2305.676581        9.3e-05        0.352763       51.653259      
116    196    312    -3.324096           -2177.205219        -2173.881123        0.000643       0.426333       17.801388      
