Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID                Convergence    
34     72     106    -789.808015             0.234          -0.0           block1b-011485        YES            
34     74     108    -792.379042             0.233          -0.0           block1b-011560        YES            
34     76     110    -794.451499             0.237          0.001          block1b-011664        YES            
34     78     112    -795.822782             0.243          -0.0           block1b-011710        YES            
34     80     114    -796.595763             0.236          0.0            block1b-011815        YES            
34     82     116    -796.949615             0.229          0.0            block1b-011861        YES            
34     84     118    -796.892108             0.226          -0.0           block1b-011936        YES            
34     86     120    -796.351495             0.225          0.0            block1b-012013        YES            
34     88     122    -795.913384             -0.205         -0.0           block1b-012079        YES            
34     90     124    -794.945821             -0.2           -0.0           block1b-012154        YES            
34     92     126    -793.482801             -0.184         -0.0           block1b-012230        YES            
36     26     62     -442.627978             0.126          0.0            block1b-012309        YES            
36     28     64     -481.895937             -0.126         0.0            block1b-012382        YES            
36     30     66     -516.61569              -0.16          0.001          block1b-012514        YES            
36     32     68     -548.555848             -0.218         0.0            block1b-012529        YES            
36     34     70     -578.436466             -0.245         0.0            block1b-012605        YES            
36     36     72     -605.203448             -0.201         -0.0           block1b-012677        YES            
