Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total (b)  beta3_total    fileID    Convergence    
104    186    290    -2061.01408             0.399772       61.026748      0.0            1200      YES            
104    188    292    -2068.107455            0.381335       58.623738      0.0            1204      YES            
104    190    294    -2075.028793            0.364597       56.489883      0.0            1207      YES            
104    192    296    -2081.671182            0.353465       55.252331      0.0            1211      YES            
104    194    298    -2087.975433            0.337948       53.222435      0.0            1215      YES            
104    196    300    -2094.003186            0.326285       51.837045      0.0            1219      YES            
104    212    316    -2134.255858            0.23929        41.157144      0.0            1223      YES            
104    214    318    -2137.933674            0.243394       42.330927      0.0            1227      YES            
104    216    320    -2141.376055            0.246069       43.28257       0.0            1231      YES            
104    236    340    -2156.749435            0.364785       74.202717      0.0            1235      YES            
104    238    342    -2157.497157            0.365507       75.225153      0.0            1239      YES            
104    240    344    -2158.086562            0.367693       76.580302      0.0            1243      YES            
104    260    364    -2154.339346            0.410462       96.67191       0.0            1248      YES            
104    262    366    -2153.01371             0.36371        85.536968      0.0            1251      YES            
104    264    368    -2151.682436            0.351981       83.404007      0.0            1255      YES            
106    184    290    -2069.599279            0.412431       63.040992      0.0            1260      YES            
106    186    292    -2077.520738            0.401607       61.961202      0.0            1264      YES            
106    188    294    -2085.176961            0.391377       60.952168      0.0            1268      YES            
106    190    296    -2092.604354            0.380849       59.865907      0.0            1272      YES            
106    192    298    -2099.791141            0.371889       59.009121      0.0            1276      YES            
106    212    318    -2157.107756            0.234013       40.634221      0.0            1279      YES            
106    214    320    -2161.258795            0.23648        41.5302        0.0            1283      YES            
106    216    322    -2165.160726            0.238806       42.3995        0.0            1287      YES            
106    234    340    -2184.821392            0.368728       74.684405      0.0            1291      YES            
106    236    342    -2186.230062            0.369395       75.698825      0.0            1295      YES            
106    260    366    -2189.171535            0.38136        89.539762      0.0            1299      YES            
106    262    368    -2188.192601            0.375455       88.969128      0.0            1303      YES            
106    264    370    -2187.134531            0.368526       88.106009      0.0            1307      YES            
108    186    294    -2092.285996            0.406896       63.491143      0.0            1312      YES            
108    212    320    -2170.841775            0.448893       82.871027      0.0            1316      YES            
108    214    322    -2175.334775            0.45065        84.145553      0.0            1320      YES            
108    216    324    -2187.312761            0.2326         41.645568      0.0            1323      YES            
108    242    350    -2218.864319            0.381636       81.613406      0.0            1327      YES            
108    244    352    -2220.359107            0.382307       82.702185      0.0            40        YES            
108    246    354    -2221.570075            0.383349       83.862448      0.0            61        YES            
108    248    356    -2222.591328            0.384359       85.030029      0.0            82        YES            
108    262    370    -2221.883016            0.376084       89.530631      0.0            1331      YES            
108    264    372    -2221.147244            0.372194       89.456068      0.0            1335      YES            
108    266    374    -2220.300636            0.368036       89.296015      0.0            1339      YES            
108    268    376    -2219.356152            0.363798       89.098177      0.0            1343      YES            
108    270    378    -2218.30602             0.359434       88.847765      0.0            1347      YES            
108    272    380    -2217.134434            0.354998       88.556053      0.0            1351      YES            
110    198    308    -2153.319042            0.367285       61.480861      0.0            1356      YES            
110    200    310    -2160.068855            0.355803       60.041691      0.0            1360      YES            
110    214    324    -2202.809897            0.234508       41.901756      0.0            1363      YES            
110    244    354    -2247.724265            0.38865        84.819301      0.0            103       YES            
110    246    356    -2249.430636            0.387399       85.451398      0.0            124       YES            
110    248    358    -2250.96062             0.387129       86.315526      0.0            145       YES            
110    250    360    -2252.209455            0.387362       87.302176      0.0            166       YES            
110    252    362    -2253.104021            0.387494       88.268893      0.0            187       YES            
110    262    372    -2253.418889            0.376428       90.148467      0.0            1367      YES            
110    264    374    -2253.049819            0.372641       90.096075      0.0            1371      YES            
110    266    376    -2252.573395            0.368166       89.850875      0.0            1375      YES            
110    268    378    -2251.990459            0.363049       89.419701      0.0            1379      YES            
110    270    380    -2251.30781             0.357704       88.909042      0.0            1383      YES            
110    276    386    -2248.489394            0.344935       88.106491      0.0            1387      YES            
112    158    270    -1938.41235             0.385308       51.333009      0.0            1391      YES            
112    194    306    -2151.878451            0.389349       64.827567      0.0            1396      YES            
112    200    312    -2175.17722             0.366088       62.6688        0.0            1400      YES            
112    214    326    -2215.216834            0.397171       74.077677      0.0            1403      YES            
112    248    360    -2277.622369            0.396408       89.181372      0.0            208       YES            
112    250    362    -2279.339357            0.394495       89.662954      0.0            229       YES            
112    264    376    -2283.375832            0.375384       91.352373      0.0            1407      YES            
112    266    378    -2283.296838            0.370023       90.866377      0.0            1411      YES            
112    268    380    -2283.108097            0.363604       90.080053      0.0            1415      YES            
112    270    382    -2282.82754             0.357046       89.235122      0.0            1419      YES            
114    240    354    -2293.266457            0.435323       95.39977       0.0            1424      YES            
114    242    356    -2295.945594            0.432525       95.724828      0.0            1428      YES            
114    244    358    -2298.450037            0.426154       95.169053      0.0            1431      YES            
114    264    378    -2312.334967            0.38046        93.25518       0.0            1435      YES            
114    266    380    -2312.656625            0.374261       92.54155       0.0            1439      YES            
114    268    382    -2312.854512            0.366779       91.46022       0.0            1443      YES            
114    270    384    -2312.959532            0.359142       90.308682      0.0            1447      YES            
114    278    392    -2312.007396            0.338448       88.111904      0.0            1451      YES            
116    162    278    -1973.98215             0.499033       72.42092       0.0            1456      YES            
116    164    280    -1990.161155            0.492592       72.190328      0.0            1460      YES            
116    168    284    -2020.489201            0.484982       72.585712      0.0            1464      YES            
116    170    286    -2035.032701            0.482733       73.056425      0.0            1468      YES            
116    190    306    -2154.007457            0.433659       72.783089      0.0            1472      YES            
116    194    310    -2173.651131            0.411464       70.345134      0.0            1476      YES            
116    196    312    -2182.962487            0.403435       69.651349      0.0            1479      YES            
116    198    314    -2191.823492            0.395928       69.029351      0.0            1483      YES            
116    214    330    -2248.077313            -0.339929      -64.636645     0.0            1486      YES            
116    236    352    -2308.90924             0.439648       95.230511      0.0            1492      YES            
116    240    356    -2315.962136            0.441476       97.696882      0.0            1496      YES            
116    242    358    -2319.163631            0.439315       98.183222      0.0            1500      YES            
116    264    380    -2339.8148              0.389673       96.276117      0.0            1503      YES            
116    266    382    -2340.492826            0.380901       94.854033      0.0            1507      YES            
116    268    384    -2341.056038            0.370293       92.917719      0.0            1511      YES            
116    270    386    -2341.552949            0.359969       91.033379      0.0            1515      YES            
116    272    388    -2341.973986            0.35127        89.553293      0.0            1519      YES            
116    280    396    -2342.220495            0.291412       75.906504      0.0            1523      YES            
116    282    398    -2341.912549            0.285816       75.093277      0.0            1527      YES            
116    292    408    -2339.520953            0.228887       62.605662      0.0            1531      YES            
116    298    414    -2336.265271            0.229109       64.505083      0.0            1535      YES            
116    300    416    -2334.751844            0.229424       65.218283      0.0            1539      YES            
118    162    280    -1970.625307            -0.38197       -55.357336     0.0            1541      YES            
118    164    282    -1987.930906            -0.385302      -56.576964     0.0            1545      YES            
118    166    284    -2005.469857            0.49119        73.661441      0.0            1552      YES            
118    188    306    -2148.387557            -0.347558      -57.906548     0.0            1554      YES            
118    190    308    -2159.179735            -0.351725      -59.384584     0.0            1558      YES            
118    192    310    -2172.455502            0.442979       76.234563      0.0            1563      YES            
118    194    312    -2182.58088             0.426717       73.977448      0.0            1567      YES            
118    196    314    -2192.401475            0.416689       72.915786      0.0            1571      YES            
118    200    318    -2210.731986            0.399901       71.33078       0.0            1575      YES            
118    204    322    -2227.692506            0.379723       68.858103      0.0            1579      YES            
118    210    328    -2249.239201            0.407943       76.904454      0.0            1583      YES            
118    212    330    -2256.494812            -0.389242      -75.553486     0.0            1586      YES            
118    238    356    -2333.320679            0.444614       98.217929      0.0            1592      YES            
118    264    382    -2363.602243            -0.353396      -88.594953     0.0            1594      YES            
118    266    384    -2364.921082            -0.354327      -89.757731     0.0            1598      YES            
118    268    386    -2367.85766             0.378787       95.756835      0.0            1603      YES            
118    270    388    -2368.711983            0.35603        90.455137      0.0            1607      YES            
118    272    390    -2369.580415            0.339915       86.931933      0.0            1611      YES            
118    274    392    -2370.349745            0.328791       84.67683       0.0            1615      YES            
118    280    398    -2371.703271            0.293577       76.93027       0.0            1619      YES            
