Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
96     186    282    4.7e-05             -1996.116041        -1996.115994        0.000265       0.01           -0.034533      YES
96     188    284    -0.006911           -1999.447416        -1999.454327        0.000617       0.01           -0.060543      YES
96     190    286    0.002818            -2002.715422        -2002.712604        0.000267       0.01           -0.07859       YES
96     192    288    0.124435            -2007.839488        -2007.715053        0.233625       0.01           0.146107       YES
96     194    290    0.11102             -2013.333029        -2013.222009        0.226139       0.01           0.116231       YES
96     196    292    0.104523            -2018.648563        -2018.54404         0.219609       0.01           0.06346        YES
96     234    330    0.250882            -2059.614413        -2059.363531        0.164815       0.01           -0.035019      YES
96     256    352    0.21333             -2060.13433         -2059.921           0.000468       0.01           -0.004415      YES
96     258    354    0.218189            -2059.636294        -2059.418105        0.000458       0.01           -0.006779      YES
96     260    356    0.214592            -2057.045883        -2056.831291        0.000778       0.01           -0.021066      YES
96     262    358    0.194073            -2053.639981        -2053.445908        0.001452       0.01           -0.037894      YES
98     126    224    -0.014796           -1649.33601         -1649.350806        1.4e-05        0.01           -0.02134       YES
98     128    226    0.132427            -1665.51168         -1665.379253        0.308225       0.01           0.252896       YES
98     130    228    0.134729            -1684.498458        -1684.363729        0.296595       0.01           0.199277       YES
98     162    260    0.130257            -1914.498371        -1914.368114        0.242484       0.01           -0.01664       YES
98     164    262    0.102832            -1923.597868        -1923.495036        0.2263         0.01           -0.021761      YES
98     166    264    0.075545            -1932.53927         -1932.463725        0.202964       0.01           -0.024713      YES
98     182    280    0.000415            -2001.668566        -2001.668151        0.001588       0.01           -0.023299      YES
98     184    282    -0.018149           -2009.450178        -2009.468327        0.000218       0.01           -0.024209      YES
98     186    284    -0.002866           -2014.087155        -2014.090021        0.000399       0.01           -0.036732      YES
98     188    286    -0.001466           -2017.992996        -2017.994462        0.001297       0.01           -0.056725      YES
98     190    288    0.189534            -2023.149401        -2022.959867        0.306888       0.01           0.233764       YES
98     192    290    0.070621            -2029.078707        -2029.008086        0.259935       0.01           0.178175       YES
98     194    292    0.120336            -2035.05707         -2034.936734        0.250353       0.01           0.159318       YES
98     196    294    0.109288            -2040.802006        -2040.692718        0.242725       0.01           0.089853       YES
98     256    354    0.196248            -2094.559067        -2094.362819        0.001127       0.01           -0.021012      YES
98     258    356    0.200206            -2094.368935        -2094.168729        0.000826       0.01           -0.014792      YES
98     260    358    0.200839            -2092.135293        -2091.934454        0.001405       0.01           -0.02722       YES
98     262    360    0.186803            -2089.09454         -2088.907737        0.003306       0.01           -0.039799      YES
100    126    226    -0.018406           -1645.660732        -1645.679138        7e-06          0.01           -0.017648      YES
100    128    228    0.123091            -1663.42689         -1663.303799        0.328308       0.01           0.286584       YES
100    162    262    0.089               -1925.811219        -1925.722219        0.245453       0.01           -0.013399      YES
100    164    264    0.06493             -1935.610739        -1935.545809        0.227387       0.01           -0.021666      YES
100    166    266    0.06894             -1945.199648        -1945.130708        0.207679       0.01           -0.024437      YES
100    168    268    0.089676            -1954.655616        -1954.56594         0.191439       0.01           -0.025336      YES
100    182    282    -0.018167           -2017.567822        -2017.585989        -0.03236       0.01           -0.05605       YES
100    184    284    -0.021594           -2025.695649        -2025.717243        0.000261       0.01           -0.020792      YES
100    186    286    0.000825            -2030.901585        -2030.90076         0.000509       0.01           -0.02944       YES
100    188    288    0.299445            -2035.952204        -2035.652759        0.323796       0.01           0.278398       YES
100    190    290    0.400662            -2042.834343        -2042.433681        0.322038       0.01           0.251143       YES
100    192    292    0.420693            -2049.36785         -2048.947157        0.319601       0.01           0.238076       YES
100    194    294    0.187855            -2055.371516        -2055.183661        0.307078       0.01           0.219694       YES
100    196    296    0.084673            -2061.431489        -2061.346816        0.259034       0.01           0.106644       YES
100    256    356    0.182907            -2127.98817         -2127.805263        0.001847       0.01           -0.020104      YES
100    258    358    0.182411            -2128.094264        -2127.911853        0.001085       0.01           -0.019427      YES
100    260    360    0.185395            -2126.226316        -2126.040921        0.001943       0.01           -0.02458       YES
100    262    362    0.190934            -2123.55999         -2123.369056        -0.008275      0.010002       -0.047733      NO
100    264    364    0.321812            -2121.516577        -2121.194765        0.051876       0.009917       -0.00389       NO
102    128    230    0.347628            -1659.255603        -1658.907975        -0.265656      0.01           -0.291557      YES
102    130    232    0.417374            -1678.562837        -1678.145463        -0.272965      0.01           -0.648632      YES
102    132    234    0.451024            -1697.393463        -1696.942439        -0.278915      0.01           -0.642352      YES
102    134    236    0.217972            -1719.208084        -1718.990112        0.330356       0.01           -0.032496      YES
102    136    238    0.135606            -1737.977365        -1737.841759        0.308663       0.01           -0.026377      YES
102    162    264    0.11507             -1935.725423        -1935.610353        0.24249        0.01           -0.014757      YES
102    164    266    0.0944              -1946.289212        -1946.194812        0.227233       0.01           -0.021699      YES
102    166    268    0.091081            -1956.431167        -1956.340086        0.212054       0.01           -0.02399       YES
102    168    270    0.081569            -1966.354365        -1966.272796        0.197509       0.01           -0.017653      YES
102    182    284    -0.021514           -2032.32871         -2032.350224        -0.039707      0.010001       -0.050896      NO
102    184    286    -0.011873           -2040.822448        -2040.834321        0.000293       0.01           -0.008111      YES
102    186    288    0.000234            -2046.58278         -2046.582546        0.000595       0.01           -0.016928      YES
102    188    290    0.09592             -2051.973437        -2051.877517        -0.180254      0.01           -0.214154      YES
102    190    292    0.103888            -2058.236182        -2058.132294        -0.186659      0.01           -0.256019      YES
102    192    294    0.456164            -2068.112917        -2067.656753        0.324958       0.01           0.239812       YES
102    256    358    0.174635            -2160.436788        -2160.262153        0.002448       0.01           -0.01236       YES
102    258    360    0.171829            -2160.8308          -2160.658971        0.001239       0.01           -0.00586       YES
102    260    362    0.175558            -2159.328248        -2159.15269         0.002273       0.01           -0.017365      YES
