Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
108    244    352    0.87012             -2220.359107        -2219.488987        0.342852       0.01           -0.06188       YES
108    246    354    1.038843            -2221.570075        -2220.531232        0.343431       0.01           -0.061789      YES
108    248    356    1.226262            -2222.591328        -2221.365066        0.343989       0.01           -0.061622      YES
108    262    370    0.164723            -2222.599114        -2222.434391        0.003724       0.01           -0.016283      YES
108    264    372    0.154924            -2220.834345        -2220.679421        -0.041187      0.01           -0.085907      YES
108    266    374    0.15                -2219.558813        -2219.408813        0.072502       0.01           0.017357       NO
108    268    376    0.149206            -2218.710685        -2218.561479        0.090719       0.01           0.028418       YES
108    270    378    0.12921             -2217.956714        -2217.827504        0.105817       0.01           0.025731       YES
108    272    380    0.971275            -2217.541136        -2216.569861        0.30706        0.01           0.212676       YES
110    188    298    -0.011923           -2111.403217        -2111.41514         -4e-06         0.009999       -0.404855      YES
110    190    300    -0.006199           -2119.062867        -2119.069066        -0.119066      0.01           -0.516927      YES
110    192    302    0.042212            -2126.499483        -2126.457271        0.11022        0.009999       -0.280265      NO
110    194    304    0.078253            -2134.604419        -2134.526166        0.142764       0.01           -0.23935       YES
110    196    306    0.141027            -2140.616038        -2140.475011        -0.310762      0.01           -0.685506      YES
110    198    308    0.133584            -2147.555232        -2147.421648        -0.284407      0.01           -0.651287      YES
110    200    310    0.114624            -2154.395987        -2154.281363        -0.278369      0.01           -0.649536      YES
110    214    324    0.122586            -2202.931646        -2202.80906         0.218988       0.009999       -0.029481      YES
110    244    354    0.530181            -2247.724265        -2247.194084        0.348584       0.009999       -0.063783      YES
110    246    356    0.733831            -2249.430636        -2248.696805        0.347359       0.01           -0.063423      YES
110    248    358    0.980821            -2250.96062         -2249.979799        0.346931       0.01           -0.063166      YES
110    250    360    1.163246            -2252.209455        -2251.046209        0.34683        0.009998       -0.062822      YES
110    252    362    1.216451            -2253.104021        -2251.88757         0.346529       0.01           -0.04156       YES
110    262    372    0.191887            -2253.880898        -2253.689011        0.002371       0.01           -0.015798      YES
110    264    374    0.170986            -2252.407036        -2252.23605         -0.037028      0.01           -0.078877      YES
110    266    376    0.013684            -2251.346166        -2251.332482        -0.052994      0.01           -0.103535      YES
110    268    378    0.119261            -2250.66503         -2250.545769        0.084023       0.01           0.029744       NO
110    270    380    0.161316            -2250.203498        -2250.042182        0.098934       0.01           0.043862       YES
110    276    386    0.716944            -2248.870442        -2248.153498        0.299449       0.01           -0.040215      YES
112    158    270    0.048411            -1943.220668        -1943.172257        0.223738       0.009999       -0.022884      YES
112    188    300    0.002315            -2123.530486        -2123.528171        5e-06          0.01           -0.411949      YES
112    190    302    0.004088            -2131.444972        -2131.440884        -0.062917      0.01           -0.466575      YES
112    192    304    0.011521            -2139.390806        -2139.379285        -0.117497      0.01           -0.513878      YES
