Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       Q20_control (b)
112    284    396    -0.026962           -2206.572103        -2206.545141        0.095149       0.23825        55.518694      
112    286    398    -0.03572            -2204.221647        -2204.185927        0.09531        0.241094       56.964458      
114    160    274    0.021683            -1949.008245        -1949.029928        0.037384       0.225017       29.064973      
114    162    276    -0.000202           -1965.524131        -1965.523929        0.031726       0.220432       28.902914      
114    190    304    -1.723322           -2126.007565        -2124.284243        0.122599       0.424479       8.997856       
114    192    306    0.03005             -2135.186895        -2135.216945        0.097994       0.412857       67.674083      
114    272    386    -0.001118           -2253.447492        -2253.446374        0.076812       0.367445       91.502779      
114    274    388    -0.000524           -2252.116593        -2252.116069        0.051681       0.359079       90.852036      
114    284    398    -0.034024           -2240.882087        -2240.848063        0.096391       0.245963       57.863494      
114    286    400    -0.033993           -2238.951233        -2238.91724         0.095543       0.245784       58.560575      
114    288    402    -0.028997           -2236.910331        -2236.881334        0.094172       0.24602        59.468728      
114    290    404    -0.019925           -2234.705071        -2234.685146        0.092105       0.245418       60.171579      
114    292    406    -0.006466           -2232.255802        -2232.249336        0.089826       0.24409        60.638793      
114    296    410    -0.003779           -2226.342038        -2226.338259        0.085813       0.240889       61.217184      
116    160    276    0.019633            -1947.692986        -1947.712619        0.03385        0.215482       28.180613      
116    190    306    -1.123135           -2135.885075        -2134.76194         0.136813       0.441798       6.834032       
116    192    308    -2.500902           -2145.41947         -2142.918568        0.112963       0.428275       -20.217036     
116    194    310    -3.515446           -2154.770601        -2151.255155        0.071387       0.415962       -34.396117     
116    284    400    0.077827            -2274.263419        -2274.341246        0.078822       0.28727        89.756179      
116    286    402    -0.016658           -2272.310238        -2272.29358         0.096271       0.262932       65.141847      
116    288    404    -0.036178           -2270.585736        -2270.549558        0.092605       0.247674       61.01682       
116    290    406    -0.030316           -2268.777605        -2268.747289        0.090279       0.245358       60.669203      
116    292    408    -0.017638           -2266.756842        -2266.739204        0.087264       0.242862       60.841436      
116    294    410    -0.004739           -2264.401484        -2264.396745        0.085039       0.240664       60.98321       
116    296    412    -0.00433            -2261.681658        -2261.677328        0.082895       0.238673       61.157039      
116    298    414    -0.01265            -2258.710966        -2258.698316        0.081129       0.236914       61.337731      
116    300    416    -0.009956           -2255.638179        -2255.628223        0.078255       0.234409       61.519156      
118    190    308    -0.175793           -2143.946722        -2143.770929        0.051352       0.050399       -6.458108      
118    194    312    -2.943496           -2164.213358        -2161.269862        0.088463       0.430324       -21.446411     
118    208    326    -0.000698           -2220.713739        -2220.713041        0.10163        0.265319       43.078409      
118    210    328    -0.001281           -2228.197678        -2228.196397        0.098793       0.256922       41.735622      
118    264    382    -0.66253            -2316.759753        -2316.097223        0.08637        0.047715       0.600885       
118    266    384    -1.709175           -2315.79082         -2314.081645        0.115728       0.055264       -2.721574      
118    286    404    -0.003363           -2304.82203         -2304.818667        0.082797       0.279028       71.748636      
118    288    406    -0.005394           -2303.105496        -2303.100102        0.083517       0.263396       66.982959      
118    290    408    -0.020586           -2301.499297        -2301.478711        0.082981       0.244223       61.77808       
118    292    410    -0.017369           -2299.884541        -2299.867172        0.084438       0.239784       60.638296      
118    294    412    -0.019057           -2297.965661        -2297.946604        0.081996       0.236929       60.515702      
118    296    414    -0.014965           -2295.686527        -2295.671562        0.079757       0.234704       60.608731      
118    298    416    -0.006814           -2293.166141        -2293.159327        0.077124       0.232657       60.813572      
118    300    418    -0.000371           -2290.569566        -2290.569195        0.02647        0.218019       61.049208      
120    190    310    -0.289053           -2151.396999        -2151.107946        0.064905       0.045109       -3.181704      
120    192    312    -0.276083           -2160.715856        -2160.439773        0.0904         0.064046       -31.6499       
120    196    316    0.048625            -2182.339089        -2182.387714        0.113151       0.476378       84.398243      
120    198    318    -3.988325           -2191.81451         -2187.826185        0.050992       0.472181       -36.378957     
120    210    330    -0.00371            -2240.449326        -2240.445616        0.094853       0.248567       40.56061       
120    212    332    -0.00109            -2248.100779        -2248.099689        0.095548       0.247484       40.652891      
120    266    386    -1.770393           -2343.468683        -2341.69829         0.113613       0.053999       -39.224007     
120    268    388    -1.409721           -2342.701577        -2341.291856        0.129915       0.056555       -40.504467     
120    288    408    -0.002017           -2334.678927        -2334.67691         0.067734       0.26765        69.982605      
120    290    410    -0.002609           -2333.163454        -2333.160845        0.070911       0.251772       65.49311       
120    292    412    -0.01551            -2331.784953        -2331.769443        0.081222       0.237241       60.554913      
120    294    414    -0.011167           -2330.284629        -2330.273462        0.07903        0.233144       59.857699      
120    296    416    -0.006302           -2328.446303        -2328.440001        0.076162       0.230439       59.850692      
120    298    418    -0.000786           -2326.394251        -2326.393465        0.037275       0.217812       60.113839      
36     64     100    -0.253265           -810.922628         -810.669363         0.001774       0.357252       -6.031059      
38     60     98     -1.133034           -825.841467         -824.708433         0.000483       0.387452       -5.27009       
38     62     100    -1.82327            -835.195951         -833.372681         -0.000202      0.387033       -5.59889       
38     64     102    -1.840594           -843.328055         -841.487461         -0.001556      0.382779       -5.691501      
40     64     104    -0.662379           -870.683775         -870.021396         0.000858       0.381989       -5.528532      
40     66     106    -0.392585           -879.685652         -879.293067         0.001141       0.374668       -5.794639      
102    132    234    -0.766411           -1709.939142        -1709.172731        -1.1e-05       0.353334       16.189751      
106    194    300    -4.014321           -2084.740901        -2080.72658         2e-06          0.350328       -34.369214     
