  Z      N    UNEDF0    UNEDF1    UNEDF2    SV_MIN      SLY4      SKMS       SKP     Total
102    236         0         0         0         1         0         0         0         1
102    238         0         0         0         0         0         0         1         1
102    240         0         0         1         0         0         0         0         1
102    242         0         0         1         0         0         0         1         2
102    244         0         0         0         0         0         0         1         1
102    256         0         0         0         0         1         1         0         2
102    258         0         0         0         0         1         1         0         2
102    260         0         1         1         1         1         1         1         6
102    262         1         1         1         1         1         1         1         7
102    264         0         1         1         1         1         1         1         6
104    134         0         0         0         0         0         1         0         1
104    136         0         0         0         0         1         1         0         2
104    148         0         0         0         0         0         0         1         1
104    154         0         0         0         0         0         0         1         1
104    164         0         0         0         0         0         1         0         1
104    166         0         0         0         0         1         1         0         2
104    168         0         0         0         0         0         1         0         1
104    170         0         0         0         1         1         1         0         3
104    172         0         0         0         0         0         1         1         2
104    176         0         0         0         0         0         0         1         1
104    180         0         0         0         0         0         0         1         1
104    182         0         0         1         0         1         1         0         3
104    184         0         1         1         1         1         1         0         5
104    186         1         1         1         1         1         1         0         6
104    188         1         1         1         1         1         1         0         6
104    190         1         1         1         1         1         1         0         6
104    192         0         1         1         0         0         0         1         3
104    194         0         1         1         0         0         0         0         2
104    196         0         1         1         0         0         0         0         2
104    198         0         0         0         1         0         0         1         2
104    212         0         0         1         0         0         0         0         1
104    214         0         0         1         0         0         0         0         1
104    216         0         0         1         0         0         0         0         1
104    230         0         0         0         0         0         0         1         1
104    232         0         0         0         0         0         0         1         1
104    234         0         0         0         1         0         0         1         2
104    236         0         0         1         0         0         0         0         1
104    238         0         0         1         0         0         0         0         1
104    240         0         0         1         0         0         0         0         1
104    250         0         0         0         0         0         0         1         1
104    252         0         0         0         0         0         1         0         1
104    256         0         0         0         0         0         1         0         1
104    258         0         0         0         0         1         1         0         2
104    260         0         1         1         1         1         1         0         5
104    262         1         1         1         1         1         1         1         7
104    264         0         1         1         1         1         1         1         6
106    144         0         0         0         0         0         0         1         1
106    150         0         0         0         0         0         0         1         1
106    156         0         0         0         0         0         1         0         1
106    162         0         0         0         0         0         1         0         1
106    164         0         0         0         1         0         0         0         1
106    166         0         0         0         0         0         1         1         2
106    168         0         0         0         0         0         1         0         1
106    170         0         0         0         0         0         1         0         1
106    172         0         0         0         0         0         1         0         1
106    176         0         0         0         0         0         0         1         1
106    182         0         0         0         0         0         1         0         1
106    184         0         1         1         0         1         1         0         4
