Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
106    190    296    0.180628            -2069.816738        -2069.63611         -0.192106      0.009999       -0.577514      NO
106    192    298    0.227042            -2075.392354        -2075.165312        -0.200456      0.01           -0.569254      YES
106    194    300    0.176471            -2080.72658         -2080.550109        -0.209503      0.01           -0.559831      YES
106    258    364    0.265682            -2138.211579        -2137.945897        0.000509       0.01           0.00082        YES
106    260    366    0.235917            -2134.287831        -2134.051914        0.001553       0.01           -0.012541      YES
106    262    368    0.217437            -2129.548475        -2129.331038        0.004199       0.01           -0.026003      YES
106    264    370    0.309995            -2125.299528        -2124.989533        0.049802       0.01           -0.006069      YES
108    186    294    0.064032            -2074.580228        -2074.516196        0.000294       0.01           -0.00551       YES
108    188    296    0.163088            -2079.398395        -2079.235307        -0.183736      0.009899       -0.59356       NO
108    190    298    0.199565            -2085.832491        -2085.632926        -0.192292      0.01           -0.586499      YES
108    192    300    0.233636            -2092.047718        -2091.814082        -0.199996      0.01           -0.581719      YES
108    194    302    0.266728            -2098.010844        -2097.744116        -0.207792      0.01           -0.577823      YES
108    196    304    0.202989            -2103.643887        -2103.440898        -0.215556      0.01           -0.569127      YES
108    260    368    0.258911            -2168.30865         -2168.049739        0.001557       0.01           0.001724       YES
108    262    370    0.239106            -2163.986312        -2163.747206        0.0045         0.01           -0.023642      YES
108    264    372    0.231573            -2159.929231        -2159.697658        0.044284       0.01           -0.008499      YES
108    266    374    0.205894            -2156.568823        -2156.362929        0.0741         0.009999       0.011288       NO
108    268    376    0.181337            -2153.595163        -2153.413826        0.094358       0.01           -0.271921      YES
108    270    378    0.420196            -2151.010345        -2150.590149        -0.265916      0.01           -0.624032      YES
108    272    380    0.157155            -2148.662952        -2148.505797        0.132032       0.01           -0.218761      YES
110    188    298    0.077276            -2093.177647        -2093.100371        -0.000666      0.01           -0.420347      YES
110    190    300    0.170163            -2100.113166        -2099.943003        -0.190256      0.009998       -0.594874      NO
110    194    304    0.237036            -2113.489661        -2113.252625        -0.20653       0.01           -0.588388      YES
110    196    306    0.207406            -2119.743936        -2119.53653         -0.214558      0.01           -0.582711      YES
110    198    308    0.20092             -2125.676817        -2125.475897        -0.222528      0.01           -0.57589       YES
110    262    372    0.259434            -2197.287674        -2197.02824         0.004002       0.01           -0.383357      YES
110    264    374    0.244594            -2193.417521        -2193.172927        -0.011563      0.01           -0.39557       YES
110    266    376    0.196504            -2190.422903        -2190.226399        0.069283       0.009971       -0.308841      NO
110    268    378    0.120405            -2187.743242        -2187.622837        0.089471       0.01           -0.281066      YES
110    270    380    0.289063            -2185.655445        -2185.366382        -0.268541      0.01           -0.630097      YES
110    272    382    0.314569            -2183.457329        -2183.14276         -0.269454      0.01           -0.624067      YES
112    162    274    0.204872            -1964.516265        -1964.311393        0.219376       0.01           -0.014174      YES
112    188    300    0.338363            -2106.120258        -2105.781895        0.381934       0.01           -0.046381      YES
112    190    302    0.122347            -2112.838366        -2112.716019        -0.185872      0.01           -0.597447      YES
112    192    304    0.593602            -2123.537221        -2122.943619        0.364894       0.01           -0.034412      YES
112    196    308    0.015972            -2134.733494        -2134.717522        0.140346       0.01           -0.240363      YES
112    198    310    0.246977            -2140.87085         -2140.623873        -0.223558      0.01           -0.587816      YES
112    200    312    0.290593            -2147.280595        -2146.990002        -0.231701      0.01           -0.585739      YES
112    202    314    0.301633            -2153.555135        -2153.253502        -0.239549      0.01           -0.590153      YES
112    264    376    0.215301            -2225.984259        -2225.768958        -0.008223      0.01           -0.394876      YES
